AGR,Agra,IN
AGX,Agatti Island,IN
AIP,Adampur,IN
AJL,Aizawl,IN
AKD,Akola,IN
AMD,Ahmedabad,IN
ATQ,Amritsar,IN
BBI,Bhubaneshwar,IN
BDQ,Vadodara,IN
BEK,Bareli,IN
BEP,Bellary,IN
BHJ,Bhuj,IN
BHO,Bhopal,IN
BHU,Bhavnagar,IN
BKB,Bikaner,IN
BLR,Bangalore,IN
BOM,Mumbai,IN
BPM,Hyderabad,IN
BUP,Bhatinda,IN
CBD,Car Nicobar,IN
CCJ,Calicut,IN
CCU,Kolkata,IN
CDP,Cuddapah,IN
CJB,Coimbatore,IN
COH,Cooch Behar,IN
COK,Kochi,IN
DAE,Daparizo,IN
DAI,Darjeeling,IN
DBD,Dhanbad,IN
DED,Dehra Dun,IN
DEL,Delhi,IN
DEP,Deparizo,IN
DHM,Dharamsala,IN
DIB,Dibrugarh,IN
DIU,Diu,IN
DMU,Dimapur,IN
GAU,Guwahati,IN
GAY,Gaya,IN
GOI,Goa,IN
GOP,Gorakhpur,IN
GUX,Guna,IN
GWL,Gwalior,IN
HBX,Hubli,IN
HJR,Khajuraho,IN
HSS,Hissar,IN
HYD,Hyderabad,IN
IDR,Indore,IN
IMF,Imphal,IN
ISK,Nasik,IN
IXA,Agartala,IN
IXB,Bagdogra,IN
IXC,Chandigarh,IN
IXD,Allahabad,IN
IXE,Mangalore,IN
IXG,Belgaum,IN
IXH,Kailashahar,IN
IXI,Lilabari,IN
IXJ,Jammu,IN
IXK,Keshod,IN
IXL,Leh,IN
IXM,Madurai,IN
IXN,Khowai,IN
IXP,Pathankot,IN
IXQ,Kamalpur,IN
IXR,Ranchi,IN
IXS,Silchar,IN
IXT,Pasighat,IN
IXU,Aurangabad,IN
IXV,Along,IN
IXW,Jamshedpur,IN
IXY,Kandla,IN
IXZ,Port Blair,IN
JAI,Jaipur,IN
JDH,Jodhpur,IN
JGA,Jamnagar,IN
JGB,Jagdalpur,IN
JLR,Jabalpur,IN
JRH,Jorhat,IN
JSA,Jaisalmer,IN
KLH,Kolhapur,IN
KNU,Kanpur,IN
KQH,KISHANGARH,IN
KTU,Kota,IN
KUU,Kulu,IN
LDA,Malda,IN
LKO,Lucknow,IN
ltu,latur,IN
LUH,Ludhiana,IN
MAA,Chennai,IN
MOH,Mohanbari,IN
MYQ,Mysore,IN
MZA,Muzaffarnagar,IN
MZU,Muzaffarpur,IN
NAG,Nagpur,IN
NDC,Nanded,IN
NMB,Daman,IN
NVY,Neyveli,IN
OMN,Osmanabad,IN
PAB,Bilaspur,IN
PAT,Patna,IN
PBD,Porbandar,IN
PGH,Pantnagar,IN
PNQ,Pune,IN
PNY,Pondicherry,IN
PUT,Puttaparthi,IN
PYB,Jeypore,IN
PYG,Pakyong,IN
QJU,Jullundur,IN
QNB,Anand,IN
QNF,Faridabad,IN
QNW,Nawanshahar,IN
RAJ,Rajkot,IN
RDP,Durgapur,IN
REW,Rewa,IN
RGH,Balurghat,IN
RJA,Rajahmundry,IN
RJI,Rajouri,IN
RMD,Ramagundam,IN
RNK,SURFACE,IN
RPR,Raipur,IN
RRK,Rourkela,IN
RTC,Ratnagiri,IN
RUP,Rupsi,IN
SAG,Shirdi,IN
SHL,Shillong,IN
SLV,Simla,IN
SSE,Sholapur,IN
STV,Surat,IN
SXR,Srinagar,IN
SXV,Salem,IN
TCR,Tuticorin,IN
TEI,Tezu,IN
TEZ,Tezpur,IN
TIR,Tirupati,IN
TJV,Thanjavur,IN
TNI,Satna,IN
TRV,Trivandrum,IN
TRZ,Tiruchirapally,IN
UDR,Udaipur,IN
VDY,Vidyanagar,IN
VGA,Vijayawada,IN
VIZ,Vizag,IN
VNS,Varanasi,IN
VTZ,Vishakhapatnam,IN
WGC,Warrangal,IN
XXB,Bhadohi,IN
ZER,Zero,IN
